bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-pro-max.html,iPhone 12 Pro Max I Chính hãng VN/A ,,,,32.990.000 VNĐ,6 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",OLED,128 GB,6.7 inches,,,,,,,
5.0,,A13 Bionic,"12 MP, ƒ/2.2 aperture",,https://cellphones.com.vn/iphone-11.html,iPhone 11 I Chính hãng VN/A ,,,,18.000.000 VNĐ,4 GB,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture ,IPS LCD,64 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12.html,iPhone 12 I Chính hãng VN/A ,,,,22.990.000 VNĐ,4 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",OLED,64 GB,6.1 inches,,,,,,,
"v5.0, A2DP, LE",,Apple A12 Bionic,7MP,,https://cellphones.com.vn/apple-iphone-xr-64-gb-chinh-hang-vn.html,iPhone XR 64GB I Chính hãng VN/A ,,,,14.990.000 VNĐ,3 GB,12MP,IPS LCD,64 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-pro.html,iPhone 12 Pro I Chính hãng VN/A ,,,,30.990.000 VNĐ,6 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",OLED,128 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-mini.html,iPhone 12 mini I Chính hãng VN/A ,,,,18.990.000 VNĐ,4 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",OLED,64 GB,5.4 inches,,,,,,,
5.0,,A13 Bionic,"12 MP, ƒ/2.2 aperture",,https://cellphones.com.vn/iphone-11-128gb.html,iPhone 11 128GB I Chính hãng VN/A ,,,,19.900.000 VNĐ,4 GB,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture ,IPS LCD,128 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-128gb.html,iPhone 12 128GB I Chính hãng VN/A ,,,,24.990.000 VNĐ,4 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",OLED,128 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-pro-max-256gb.html,iPhone 12 Pro Max 256GB I Chính hãng VN/A ,,,,36.990.000 VNĐ,6 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",OLED,256 GB,6.7 inches,,,,,,,
"v5.0, A2DP, LE",,Apple A12 Bionic,7MP,,https://cellphones.com.vn/apple-iphone-xr-128-gb-chinh-hang-vn.html,iPhone XR 128GB I Chính hãng VN/A ,,,,16.990.000 VNĐ,3 GB,12MP,IPS LCD,128 GB,6.1 inches,,,,,,,
"v5.0, A2DP, LE",,64 GB,Apple A12 Bionic 6 nhân,,https://cellphones.com.vn/apple-iphone-xs-max-64-gb-chinh-hang-vn.html,Apple iPhone XS Max 64GB I Chính hãng VN/A ,,,,Đăng ký nhận tin,Li-ion,7 MP,12 MP,Nano-SIM,6.5 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-pro-256gb.html,iPhone 12 Pro 256GB I Chính hãng VN/A ,,,,33.990.000 VNĐ,6 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",OLED,256 GB,6.1 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-mini-128gb.html,iPhone 12 mini 128GB I Chính hãng VN/A ,,,,20.990.000 VNĐ,4 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",OLED,128 GB,5.4 inches,,,,,,,
"5.0, A2DP, LE",,Apple A13 Bionic (7 nm+),"7 MP, f/2.2",,https://cellphones.com.vn/iphone-se-2.html,iPhone SE 2020 I Chính hãng VN/A ,,,,Đăng ký nhận tin,3 GB,"12 MP, f/1.8 (wide), PDAF, OIS",IPS LCD,64 GB,4.7 inches,,,,,,,
"5.0, A2DP, LE",,Apple A14 Bionic (5 nm),"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,https://cellphones.com.vn/iphone-12-pro-max-512gb.html,iPhone 12 Pro Max 512GB I Chính hãng VN/A ,,,,42.990.000 VNĐ,6 GB,"12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",OLED,512 GB,6.7 inches,,,,,,,
"5.0, A2DP, LE",,Apple A11 Bionic APL1W72,"7 MP, f/2.2, 1080p@30fps, 720p@240fps, nhận diện khuôn mặt, HDR, panorama",,https://cellphones.com.vn/iphone-8-plus-128gb-chinh-hang-vn-a.html,Apple iPhone 8 Plus 128GB I Chính hãng VN/A ,,,,Đăng ký nhận tin,3 GB,"12 MP (f/1.8, 28mm, OIS) + 12 MP (f/2.8, 57mm), tự động lấy nét nhận diện theo giai đoạn, zoom quang 2x, 4 LED flash (2 tone)",IPS LCD,128 GB,5.5 inches,,,,,,,
5.0,,A13 Bionic,"12 MP, ƒ/2.2 aperture",,https://cellphones.com.vn/iphone-11-256gb.html,iPhone 11 256GB I Chính hãng VN/A ,,,,22.000.000 VNĐ,4 GB,Camera kép 12MP:- Camera góc rộng: ƒ/1.8 aperture- Camera siêu rộng: ƒ/2.4 aperture ,OLED,256 GB,6.1 inches,,,,,,,
